Quality	Calidad
Defense	Defensa
Tough	Duro
Tough:	Duro: 
Hero	Héroe
Hero:	Héroe: 
Strider	Zancudo
Strider:	Zancudo: 
Rending	Desgarrador
Rending:	Desgarrador: 
Furious	Furioso
Furious:	Furioso:
Special Rules	Reglas especiales
AP:	AP:
Fearless	Valiente
Fearless:	Valiente: 
Bane	Maldecir
Bane:	Maldecir: 
Smash	Aplastar
Smash:	Aplastar: 
Blast	Explosión
Blast:	Explosión:
Caster	Lanzador
Caster:	Lanzador:
Shred	Desollar
Shred:	Desollar: 
Unstoppable	Imparable
Unstoppable:	Imparable:
Fast	Rápido
Fast:	Rápido: 
Scout	Explorador
Scout:	Explorador:
Deadly	Mortal
Deadly:	Mortal: 
Regeneration	Regeneración
Regeneration:	Regeneración:
Slam	Golpe
Slam:	Golpe: 
Ambush	Emboscada
Ambush:	Emboscada: 
Flying	Volar
Flying:	Volar: 
Reliable	Fiable
Reliable:	Fiable: 
Fear	Miedo
Fear:	Miedo:
